Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
Michael I. Roth	INTERPUBLIC GROUP OF COS	IPG	$10.25 	$6.53 	7.011	0.815
David B. Bell	INTERSIL CORP  -CL A	ISIL	$4.45 	$0.82 	6.648	-0.085
Craig M. Nash	INTERVAL LEISURE GROUP	IILG	$3.24 	$0.41 	6.511	-0.388
Kevin Fairbairn	INTEVAC INC	IVAC	$1.98 	$0.20 	6.298	-0.694
Dennis E. Nixon	INTL BANCSHARES CORP	IBOC	$1.23 	$0.67 	6.09	-0.174
Samuel J. Palmisano	INTL BUSINESS MACHINES CORP	IBM	$31.72 	$99.87 	7.501	1.999
Douglas D. Tough, MBA, BBA	INTL FLAVORS & FRAGRANCES	IFF	$8.90 	$2.62 	6.949	0.419
Patti S. Hart	INTL GAME TECHNOLOGY	IGT	$5.48 	$1.99 	6.739	0.298
Jeffrey M. Johnson	INTL LOTTERY & TOTALIZATOR	3ITSI	$0.17 	$0.01 	5.226	-2.23
John V. Faraci	INTL PAPER CO	IP	$17.85 	$25.18 	7.252	1.401
Oleg Khaykin	INTL RECTIFIER CORP	IRF	$1.23 	$0.90 	6.091	-0.048
Lesa Kennedy	INTL SPEEDWAY CORP  -CL A	ISCA	$0.94 	$0.65 	5.972	-0.19
Robert P. Jornayvaz, III	INTREPID POTASH INC	IPI	$0.80 	$0.36 	5.905	-0.445
Brad D. Smith	INTUIT INC	INTU	$13.87 	$3.46 	7.142	0.538
Gary S. Guthart, Ph.D.	INTUITIVE SURGICAL INC	ISRG	$5.05 	$1.41 	6.703	0.15
A. Malachi Mixon, III	INVACARE CORP	IVC	$4.88 	$1.72 	6.689	0.236
Martin L. Flanagan, CFA	INVESCO LTD	IVZ	$11.51 	$3.49 	7.061	0.543
Robert C. Gasser	INVESTMENT TECHNOLOGY GP INC	ITG	$3.94 	$0.57 	6.596	-0.244
Robert P. Peebler	ION GEOPHYSICAL CORP	IO	$3.35 	$0.44 	6.525	-0.352
Greg Daily	IPAYMENT INC	0030B	$0.73 	$0.70 	5.86	-0.155
Adam D. Singer, M.D.	IPC THE HOSPITALIST CO INC	IPCM	$2.38 	$0.36 	6.377	-0.44
Colin M. Angle	IROBOT CORP	IRBT	$2.31 	$0.40 	6.363	-0.397
Robert T. Brennan	IRON MOUNTAIN INC	IRM	$1.42 	$3.13 	6.152	0.495
Jay Sugarman	ISTAR FINANCIAL INC	SFI	$9.72 	$0.63 	6.988	-0.203
Malcolm Unsworth	ITRON INC	ITRI	$5.10 	$2.26 	6.708	0.354
Steven R. Loranger	ITT CORP	ITT	$12.64 	$11.00 	7.102	1.041
Kevin M. Modany	ITT EDUCATIONAL SERVICES INC	ESI	$6.75 	$1.60 	6.829	0.203
Gerald B. Shreiber	J & J SNACK FOODS CORP	JJSF	$2.30 	$0.70 	6.361	-0.157
Millard S. Drexler	J CREW GROUP INC	JCG	$4.92 		6.692	
Hemi Zucker	J2 GLOBAL COMMUNICATIONS INC	JCOM	$1.02 	$0.26 	6.007	-0.593
Timothy L. Main	JABIL CIRCUIT INC	JBL	$9.80 	$13.41 	6.991	1.127
Linda A. Lang	JACK IN THE BOX INC	JACK	$4.50 	$2.30 	6.654	0.361
Craig L. Martin	JACOBS ENGINEERING GROUP INC	JEC	$6.38 	$9.94 	6.805	0.997
Stephen G. Berman	JAKKS PACIFIC INC	JAKK	$4.00 	$0.75 	6.602	-0.127
Richard Mac Coy Weil, J.D.	JANUS CAPITAL GROUP INC	JNS	$20.34 	$1.02 	7.308	0.007
Hamish N. J. Brewer	JDA SOFTWARE GROUP INC	JDAS	$3.69 	$0.62 	6.567	-0.21
Thomas H. Waechter	JDS UNIPHASE CORP	JDSU	$2.32 	$1.36 	6.365	0.135
Richard B. Handler	JEFFERIES GROUP INC	JEF	$47.35 	$2.80 	7.675	0.447
David Barger	JETBLUE AIRWAYS CORP	JBLU	$1.23 	$3.78 	6.088	0.577
Darrell D. Webb	JO-ANN STORES INC	JAS	$2.36 		6.373	
Charles H. Cannon, Jr.	JOHN BEAN TECHNOLOGIES	JBT	$3.43 	$0.88 	6.535	-0.055
William C. Weldon	JOHNSON & JOHNSON	JNJ	$28.72 	$61.59 	7.458	1.789
Stephen A. Roell	JOHNSON CONTROLS INC	JCI	$17.56 	$34.31 	7.245	1.535
Wesley R. Card	JONES GROUP INC	JNY	$9.43 	$3.64 	6.975	0.561
Colin Dyer	JONES LANG LASALLE INC	JLL	$6.47 	$2.93 	6.811	0.466
R. Neal Black	JOS A BANK CLOTHIERS INC	JOSB	$3.99 	$0.86 	6.601	-0.066
Michael W. Sutherlin	JOY GLOBAL INC	JOYG	$5.64 	$3.52 	6.751	0.547
James Dimon	JPMORGAN CHASE & CO	JPM	$20.82 	$115.48 	7.318	2.062
Kevin R. Johnson	JUNIPER NETWORKS INC	JNPR	$10.01 	$4.09 	7.001	0.612
Steven B. Nichols	K-SWISS INC  -CL A	KSWS	$1.13 	$0.22 	6.051	-0.664
Jack A. Hockema	KAISER ALUMINUM CORP	KALU	$3.04 	$1.08 	6.483	0.033
Neal J. Keating	KAMAN CORP	KAMN	$2.14 	$1.32 	6.33	0.12
Michael R. Haverty	KANSAS CITY SOUTHERN	KSU	$3.68 	$1.82 	6.566	0.259
Roger Warren Stone	KAPSTONE PAPER & PACKAGING	KS	$1.92 	$0.78 	6.282	-0.106
James O'Leary	KAYDON CORP	KDN	$4.01 	$0.46 	6.603	-0.333
Jeffrey T. Mezger	KB HOME	KBH	$6.73 	$1.59 	6.828	0.201
William P. Utt	KBR INC	KBR	$9.55 	$9.96 	6.98	0.998
Joseph P. Keithley	KEITHLEY INSTRUMENTS INC	KEI	$1.28 		6.107	
A. D. David MacKay	KELLOGG CO	K	$7.97 	$12.40 	6.902	1.093
Carl T. Camden	KELLY SERVICES INC  -CL A	KELYA	$2.62 	$4.95 	6.419	0.695
Per-Olof Loof	KEMET CORP	KEM	$4.44 	$1.02 	6.648	0.008
Donald G. Southwell	KEMPER CORP/DE	KMPR	$3.50 		6.544	
Candace Kendle, Ph.D.	KENDLE INTERNATIONAL INC	KNDL	$0.65 	$0.45 	5.813	-0.348
Carlos M. Cardoso	KENNAMETAL INC	KMT	$5.72 	$1.88 	6.757	0.275
Carlos M. Cardoso	KENNAMETAL INC	KMT	$7.65 	$1.88 	6.883	0.275
Joseph W. Kaufmann	KENSEY NASH CORP	KNSY	$1.19 	$0.08 	6.075	-1.093
Henry L. Meyer, III	KEYCORP	KEY	$7.09 	$5.36 	6.851	0.729
Bruce G. Crain	KID BRANDS INC	KID	$1.12 	$0.28 	6.049	-0.559
John B. Kilroy, Jr.	KILROY REALTY CORP	KRC	$6.40 	$0.30 	6.806	-0.519
Thomas J. Falk	KIMBERLY-CLARK CORP	KMB	$10.58 	$19.75 	7.025	1.295
David B. Henry	KIMCO REALTY CORP	KIM	$2.38 	$1.02 	6.377	0.008
Richard D. Kinder	KINDER MORGAN INC	KMI	$0.00 	$8.19 	0	0.913
Catherine Burzik	KINETIC CONCEPTS INC	KCI	$5.75 	$2.02 	6.76	0.305
Joseph H. Pyne	KIRBY CORP	KEX	$4.93 	$1.11 	6.693	0.045
Robert E. Alderson	KIRKLAND'S INC	KIRK	$1.62 	$0.42 	6.209	-0.382
John A. Kite	KITE REALTY GROUP TRUST	KRG	$1.23 	$0.10 	6.091	-0.993
Richard P. Wallace	KLA-TENCOR CORP	KLAC	$9.83 	$1.82 	6.993	0.26
Richard P. Wallace	KLA-TENCOR CORP	KLAC	$6.90 	$1.82 	6.839	0.26
Kevin P. Knight	KNIGHT TRANSPORTATION INC	KNX	$0.75 	$0.73 	5.874	-0.136
Kevin Mansell	KOHL'S CORP	KSS	$6.65 	$18.39 	6.823	1.265
John C. Fan	KOPIN CORP	KOPN	$1.38 	$0.12 	6.139	-0.919
Walter W. Turner	KOPPERS HOLDINGS INC	KOP	$2.57 	$1.25 	6.41	0.095
Gary D. Burnison	KORN/FERRY INTERNATIONAL	KFY	$3.70 	$0.78 	6.568	-0.11
Irene Rosenfeld	KRAFT FOODS INC	KFT	$19.29 	$49.21 	7.285	1.692
Kevin M. Fogarty	KRATON PERFORMANCE POLYMERS	KRA	$2.74 	$1.23 	6.438	0.089
James H. Morgan	KRISPY KREME DOUGHNUTS INC	KKD	$1.95 	$0.36 	6.29	-0.441
David B. Dillon, J.D.	KROGER CO	KR	$7.55 	$82.19 	6.878	1.915
C. Scott Kulicke	KULICKE & SOFFA INDUSTRIES	KLIC	$2.80 	$0.76 	6.447	-0.118
Michael T. Strianese	L-3 COMMUNICATIONS HLDGS INC	LLL	$16.52 	$15.68 	7.218	1.195
Kurt L. Darrow	LA-Z-BOY INC	LZB	$1.83 	$1.19 	6.261	0.075
David P. King	LABORATORY CP OF AMER HLDGS	LH	$9.67 	$5.00 	6.986	0.699
George L. LaBranche, IV	LABRANCHE & CO INC	LAB	$0.77 	$0.05 	5.889	-1.349
Douglas H. Yaeger	LACLEDE GROUP INC	LG	$2.29 	$1.74 	6.36	0.239
Stephen G. Newberry	LAM RESEARCH CORP	LRCX	$6.21 	$2.13 	6.793	0.329
Stephen G. Newberry	LAM RESEARCH CORP	LRCX	$9.39 	$2.13 	6.973	0.329
Kevin P. Reilly, Jr.	LAMAR ADVERTISING CO  -CL A	LAMR	$2.91 	$1.09 	6.464	0.038
John B. Gerlach, Jr.	LANCASTER COLONY CORP	LANC	$1.16 	$1.06 	6.064	0.024
William E. Saxelby	LANDAUER INC	LDR	$2.95 	$0.11 	6.47	-0.942
Tilman J. Fertitta	LANDRYS RESTAURANTS INC	LNY	$2.23 		6.348	
Henry H. Gerkens	LANDSTAR SYSTEM INC	LSTR	$3.57 	$2.40 	6.553	0.38
Michael D. Barnello	LASALLE HOTEL PROPERTIES	LHO	$2.79 	$0.60 	6.445	-0.221
Bruno Guilmart	LATTICE SEMICONDUCTOR CORP	LSCC	$0.43 	$0.30 	5.634	-0.526
William P. Lauder	LAUDER (ESTEE) COS INC -CL A	EL	$8.49 	$7.81 	6.929	0.893
Thomas J. Neri	LAWSON PRODUCTS	LAWS	$1.49 	$0.32 	6.174	-0.499
David L. Thomas	LCA VISION INC	LCAV	$0.65 	$0.10 	5.81	-1.001
Robert E. Rossiter	LEAR CORP	LEA	$9.09 	$11.96 	6.959	1.078
Mary E. Junck	LEE ENTERPRISES INC	LEE	$0.83 	$0.78 	5.921	-0.108
Mark Raymond Fetting	LEGG MASON INC	LM	$5.92 	$2.86 	6.772	0.456
David S. Haffner	LEGGETT & PLATT INC	LEG	$5.92 	$3.36 	6.772	0.526
Jeffrey S. Carbiener	LENDER PROCESSING SERVICES	LPS	$8.43 	$2.46 	6.926	0.39
Stuart Miller	LENNAR CORP	LEN	$9.66 	$3.07 	6.985	0.488
Todd M. Bluedorn	LENNOX INTERNATIONAL INC	LII	$6.92 	$3.10 	6.84	0.491
Ian M. Cumming	LEUCADIA NATIONAL CORP	LUK	$1.61 	$1.32 	6.205	0.119
James Crowe	LEVEL 3 COMMUNICATIONS INC	LVLT	$6.40 	$3.65 	6.806	0.562
T. Wilson Eglin	LEXINGTON REALTY TRUST	LXP	$2.90 	$0.37 	6.463	-0.438
Paul J. Curlander	LEXMARK INTL INC  -CL A	LXK	$9.65 	$4.21 	6.984	0.625
Keith G. Myers	LHC GROUP INC	LHCG	$1.53 	$0.64 	6.183	-0.197
John F. Meier	LIBBEY INC	LBY	$2.72 	$0.80 	6.434	-0.096
William P. Hankowsky	LIBERTY PROPERTY TRUST	LRY	$2.75 	$0.76 	6.44	-0.12
Gregory T. Lucier	LIFE TECHNOLOGIES CORP	LIFE	$11.50 	$3.59 	7.061	0.555
Bahram Akradi	LIFE TIME FITNESS INC	LTM	$4.43 	$0.91 	6.646	-0.04
William F. Carpenter, III	LIFEPOINT HOSPITALS INC	LPNT	$8.15 	$3.24 	6.911	0.511
John Lechleiter, Ph.D.	LILLY (ELI) & CO	LLY	$16.51 	$23.08 	7.218	1.363
Leslie H. Wexner	LIMITED BRANDS INC	LTD	$20.51 	$9.61 	7.312	0.983
John P. Byrnes	LINCARE HOLDINGS INC	LNCR	$1.97 	$1.67 	6.295	0.223
Shaun E. McAlmont	LINCOLN EDUCATIONAL SERVICES	LINC	$1.01 	$0.64 	6.006	-0.194
John M. Stropki, Jr.	LINCOLN ELECTRIC HLDGS INC	LECO	$4.97 	$2.07 	6.696	0.316
Dennis R. Glass	LINCOLN NATIONAL CORP	LNC	$7.38 	$10.31 	6.868	1.013
Richard W. Parod	LINDSAY CORP	LNN	$1.43 	$0.36 	6.156	-0.446
Lothar Maier	LINEAR TECHNOLOGY CORP	LLTC	$5.14 	$1.17 	6.711	0.068
Lothar Maier	LINEAR TECHNOLOGY CORP	LLTC	$3.25 	$1.17 	6.512	0.068
William P. Angrick, III	LIQUIDITY SERVICES INC	LQDT	$1.93 	$0.29 	6.285	-0.542
Sidney B. DeBoer	LITHIA MOTORS INC  -CL A	LAD	$1.82 	$2.13 	6.26	0.329
Gordon B. Hunter	LITTELFUSE INC	LFUS	$3.06 	$0.61 	6.485	-0.216
Michael Rapino	LIVE NATION ENTERTAINMENT	LYV	$15.86 	$5.06 	7.2	0.704
Robert P. LoCascio	LIVEPERSON INC	LPSN	$0.49 	$0.11 	5.691	-0.959
William L. McComb	LIZ CLAIBORNE INC	LIZ	$6.72 	$2.50 	6.827	0.398
Joseph M. Holsten	LKQ CORP	LKQX	$3.08 	$2.47 	6.489	0.393
Bob Stevens	LOCKHEED MARTIN CORP	LMT	$21.90 	$45.80 	7.34	1.661
James S. Tisch	LOEWS CORP	L	$7.59 	$14.62 	6.88	1.165
Michael K. Simon	LOGMEIN INC	LOGM	$1.33 	$0.10 	6.123	-1.006
Richard T. Riley	LOJACK CORP	LOJN	$1.79 	$0.15 	6.254	-0.834
Martin L. Orlowsky	LORILLARD INC	LO	$19.77 	$4.05 	7.296	0.608
Richard W. Frost	LOUISIANA-PACIFIC CORP	LPX	$5.36 	$1.38 	6.729	0.141
Robert A. Niblock	LOWE'S COMPANIES INC	LOW	$12.05 	$48.82 	7.081	1.689
Jack E. Golsen	LSB INDUSTRIES INC	LXU	$1.56 	$0.61 	6.192	-0.215
Abhijit Y. Talwalkar	LSI CORP	LSI	$3.74 	$2.57 	6.572	0.41
Wendy L. Simpson	LTC PROPERTIES INC	LTC	$0.84 	$0.07 	5.923	-1.134
David G. Tacelli	LTX-CREDENCE CORP	LTXC	$3.26 	$0.22 	6.513	-0.659
James L. Hambrick	LUBRIZOL CORP	LZ	$7.57 	$5.42 	6.879	0.734
Chris J. Pappas	LUBYS INC	LUB	$0.28 	$0.25 	5.452	-0.611
John F. Glick	LUFKIN INDUSTRIES INC	LUFK	$2.61 	$0.65 	6.416	-0.19
Jeffrey W. Griffiths	LUMBER LIQUIDATORS HLDGS INC	LL	$1.34 	$0.62 	6.126	-0.207
Dale G. Barnhart	LYDALL INC	LDL	$1.23 	$0.34 	6.09	-0.471
Luis A. Rivera	LYRIS INC	3LYRI	$0.38 	$0.04 	5.58	-1.354
Wolfgang Maasberg	LYRIS INC	3LYRI	$2.21 	$0.04 	6.343	-1.354
Robert G. Wilmers	M & T BANK CORP	MTB	$2.55 	$3.81 	6.406	0.581
Robert H. Schottenstein	M/I HOMES INC	MHO	$1.75 	$0.62 	6.244	-0.21
Arthur M. Coppola	MACERICH CO	MAC	$8.99 	$0.84 	6.954	-0.077
Mitchell E. Hersh	MACK-CALI REALTY CORP	CLI	$3.90 	$0.79 	6.591	-0.102
Terry J. Lundgren	MACY'S INC	M	$14.90 	$25.00 	7.173	1.398
Edward R. Rosenfeld	MADDEN STEVEN LTD	SHOO	$0.62 	$0.66 	5.794	-0.182
Ren? Lerer, M.D.	MAGELLAN HEALTH SERVICES INC	MGLN	$5.98 	$2.97 	6.777	0.473
Peter M. McCormick	MAGNETEK INC	MAG	$0.47 	$0.08 	5.672	-1.094
Peter M. McCormick	MAGNETEK INC	MAG	$1.10 	$0.08 	6.041	-1.094
Maurice S. Reznik	MAIDENFORM BRANDS INC	MFB	$2.89 	$0.56 	6.461	-0.254
Peter F. Sinisgalli	MANHATTAN ASSOCIATES INC	MANH	$2.11 	$0.30 	6.325	-0.527
Glen E. Tellock	MANITOWOC CO	MTW	$4.91 	$3.14 	6.691	0.497
Stephen D. Fenstermacher	MANNATECH INC	MTEX	$0.64 	$0.23 	5.803	-0.642
Jeffrey A. Joerres	MANPOWERGROUP	MAN	$8.74 	$18.87 	6.942	1.276
George J. Pedersen	MANTECH INTL CORP	MANT	$3.27 	$2.60 	6.515	0.416
Clarence P. Cazalot, Jr.	MARATHON OIL CORP	MRO	$10.21 	$67.11 	7.009	1.827
Gary R. Heminger	MARATHON PETROLEUM CORP	MPC	$6.09 	$57.28 	6.785	1.758
Gregory S. Marcus	MARCUS CORP	MCS	$1.27 		6.102	
William H. McGill, Jr.	MARINEMAX INC	HZO	$1.15 	$0.45 	6.062	-0.346
J. W. Marriott, Jr.	MARRIOTT INTL INC	MAR	$9.76 	$11.69 	6.989	1.068
Brian Duperreault	MARSH & MCLENNAN COS	MMC	$14.28 	$10.55 	7.155	1.023
Mark F. Furlong	MARSHALL & ILSLEY CORP	MI	$5.09 	$2.98 	6.707	0.474
Steve Dubin	MARTEK BIOSCIENCES CORP	MATK	$1.65 		6.217	
C. Howard Nye	MARTIN MARIETTA MATERIALS	MLM	$2.84 	$1.78 	6.453	0.251
Timothy Wadhams	MASCO CORP	MAS	$10.06 	$7.59 	7.003	0.88
Joe E. Kiani	MASIMO CORP	MASI	$5.11 	$0.41 	6.708	-0.392
Don L. Blankenship	MASSEY ENERGY CO	MEE	$10.42 	$3.01 	7.018	0.479
Jose Ramon Mas	MASTEC INC	MTZ	$1.93 	$2.31 	6.286	0.363
Ajay Banga	MASTERCARD INC	MA	$11.86 	$5.54 	7.074	0.743
Clifford D. Nastas	MATERIAL SCIENCES CORP	MASC	$0.83 	$0.14 	5.916	-0.861
Richard J. Hipple	MATERION CORP	MTRN	$3.68 	$1.30 	6.565	0.115
Michael J. Bradley	MATRIX SERVICE CO	MTRX	$1.23 	$0.55 	6.091	-0.259
Robert A. Eckert	MATTEL INC	MAT	$11.43 	$5.86 	7.058	0.768
Kelly D. Conway	MATTERSIGHT CORP	MATR	$2.19 	$0.09 	6.34	-1.055
Joseph C. Bartolacci	MATTHEWS INTL CORP  -CL A	MATW	$3.45 	$0.82 	6.538	-0.085
Tun? Doluca	MAXIM INTEGRATED PRODUCTS	MXIM	$4.00 	$2.00 	6.602	0.301
Richard Montoni	MAXIMUS INC	MMS	$3.26 	$0.83 	6.513	-0.08
Joseph W. Brown, Jr.	MBIA INC	MBI	$2.46 	$0.40 	6.391	-0.394
David G. DeWalt	MCAFEE INC	MFE	$8.64 		6.936	
Alan D. Wilson	MCCORMICK & CO INC	MKC	$6.35 	$3.34 	6.803	0.523
John A. Fees	MCDERMOTT INTL INC	MDR	$7.19 	$2.40 	6.857	0.381
Jim Skinner	MCDONALD'S CORP	MCD	$9.73 	$24.08 	6.988	1.382
Harold McGraw, III	MCGRAW-HILL COMPANIES	MHP	$9.59 	$6.17 	6.982	0.79
John H. Hammergren	MCKESSON CORP	MCK	$46.15 	$112.08 	7.664	2.05
Larry A. Mizel	MDC HOLDINGS INC	MDC	$9.21 	$0.96 	6.964	-0.018
Terry D. Hildestad	MDU RESOURCES GROUP INC	MDU	$2.86 	$3.91 	6.457	0.592
Stephen W. Golsby	MEAD JOHNSON NUTRITION CO	MJN	$7.40 	$3.14 	6.869	0.497
Steven G. Murdock	MEADE INSTRUMENTS CORP	MEAD	$0.25 	$0.03 	5.399	-1.579
Robert S. Cubbin	MEADOWBROOK INS GROUP INC	MIG	$1.67 	$0.75 	6.222	-0.125
John A. Luke, Jr.	MEADWESTVACO CORP	MWV	$14.98 	$5.69 	7.176	0.755
O. Edwin French	MEDCATH CORP	MDTH	$1.73 	$0.44 	6.238	-0.354
David B. Snow, Jr.	MEDCO HEALTH SOLUTIONS INC	MHS	$16.41 	$65.97 	7.215	1.819
Marshall N. Morton	MEDIA GENERAL  -CL A	MEG	$1.99 	$0.68 	6.298	-0.169
Edward K. Aldag, Jr.	MEDICAL PROPERTIES TRUST	MPW	$4.44 	$0.12 	6.648	-0.909
Clive A. Meanwell, M.D., Ph.D.	MEDICINES CO	MDCO	$2.18 	$0.44 	6.339	-0.359
Jonah Shacknai	MEDICIS PHARMACEUT CP  -CL A	MRX	$6.30 	$0.70 	6.799	-0.155
Michael S. McDevitt	MEDIFAST INC	MED	$1.66 	$0.26 	6.219	-0.589
Roger J. Medel, M.D.	MEDNAX INC	MD	$6.53 	$1.40 	6.815	0.147
Peter L. Masanotti	MEDQUIST INC	MEDQ	$1.06 	$0.38 	6.024	-0.426
William A. Hawkins, III	MEDTRONIC INC	MDT	$9.63 	$15.93 	6.983	1.202
Ahmad R. Chatila	MEMC ELECTRONIC MATRIALS INC	WFR	$1.31 	$2.24 	6.118	0.35
George Zimmer	MENS WEARHOUSE INC	MW	$1.97 	$2.10 	6.295	0.323
Walden C. Rhines	MENTOR GRAPHICS CORP	MENT	$3.98 	$0.92 	6.599	-0.039
Richard T. Clark	MERCK & CO	MRK	$24.57 	$45.99 	7.39	1.663
Mark Aslett	MERCURY COMPUTER SYSTEMS INC	MRCY	$2.20 	$0.20 	6.343	-0.699
Mark Aslett	MERCURY COMPUTER SYSTEMS INC	MRCY	$2.43 	$0.20 	6.386	-0.699
Gabriel Tirador	MERCURY GENERAL CORP	MCY	$1.01 	$2.78 	6.005	0.443
Stephen M. Lacy	MEREDITH CORP	MDP	$7.12 	$1.39 	6.852	0.142
John A. Kraeutler	MERIDIAN BIOSCIENCE INC	VIVO	$1.01 	$0.14 	6.004	-0.845
Donald R. Uzzi	MERISEL INC	MSEL	$1.03 	$0.07 	6.011	-1.143
Fred P. Lampropoulos	MERIT MEDICAL SYSTEMS INC	MMSI	$0.85 	$0.30 	5.931	-0.528
Steven J. Hilton	MERITAGE HOMES CORP	MTH	$3.28 	$0.94 	6.516	-0.026
Charles G. McClure, Jr.	MERITOR INC	MTOR	$7.61 	$3.59 	6.881	0.555
Donald W. Duda	METHODE ELECTRONICS INC	MEI	$4.30 	$0.43 	6.633	-0.368
C. Robert Henrikson	METLIFE INC	MET	$13.87 	$52.72 	7.142	1.722
Roger D. Linquist	METROPCS COMMUNICATIONS INC	PCS	$6.30 	$4.07 	6.8	0.61
Olivier A. Filliol	METTLER-TOLEDO INTL INC	MTD	$4.98 	$1.97 	6.697	0.294
Curt S. Culver	MGIC INVESTMENT CORP/WI	MTG	$4.38 	$1.52 	6.642	0.182
James Joseph Murren	MGM RESORTS INTERNATIONAL	MGM	$9.78 	$6.02 	6.99	0.78
Raymond D. Zinn	MICREL INC	MCRL	$1.92 	$0.30 	6.284	-0.527
Steve Sanghi	MICROCHIP TECHNOLOGY INC	MCHP	$5.32 	$1.49 	6.726	0.172
Steven R. Appleton	MICRON TECHNOLOGY INC	MU	$9.79 	$8.48 	6.991	0.928
A. L. Giannopoulos	MICROS SYSTEMS INC	MCRS	$7.85 	$0.91 	6.895	-0.039
James J. Peterson	MICROSEMI CORP	MSCC	$2.96 	$0.52 	6.471	-0.285
Steven A. Ballmer	MICROSOFT CORP	MSFT	$1.35 	$62.48 	6.131	1.796
Michael J. Saylor	MICROSTRATEGY INC	MSTR	$3.98 	$0.46 	6.599	-0.342
H. Eric Bolton, Jr.	MID-AMERICA APT CMNTYS INC	MAA	$1.41 	$0.40 	6.149	-0.396
G. E. Abel	MIDAMERICAN ENERGY HOLDINGS	BRK1	$8.45 	$11.13 	6.927	1.046
Alan D. Feldman	MIDAS INC	MDS	$1.21 	$0.19 	6.084	-0.716
Brian C. Walker	MILLER (HERMAN) INC	MLHR	$2.72 	$1.65 	6.434	0.217
William M. Lambert	MINE SAFETY APPLIANCES CO	MSA	$3.05 	$0.98 	6.484	-0.01
Joseph C. Muscari	MINERALS TECHNOLOGIES INC	MTX	$4.79 	$1.00 	6.681	0.001
John E. Bourgoin	MIPS TECHNOLOGIES INC	MIPS	$0.68 	$0.07 	5.832	-1.149
Leo Berlinghieri	MKS INSTRUMENTS INC	MKSI	$5.62 	$0.85 	6.75	-0.069
Steven G. Bunger	MOBILE MINI INC	MINI	$2.34 	$0.33 	6.369	-0.48
Thomas A. Burke	MODINE MANUFACTURING CO	MOD	$4.37 	$1.45 	6.64	0.161
Joseph C. Lawler	MODUSLINK GLOBAL SOLUTIONS	MLNK	$2.86 	$0.92 	6.456	-0.034
Jeff Lorberbaum	MOHAWK INDUSTRIES INC	MHK	$2.19 	$5.32 	6.341	0.726
Martin P. Slark	MOLEX INC	MOLX	$9.08 	$3.01 	6.958	0.478
Martin P. Slark	MOLEX INC	MOLX	$10.39 	$3.01 	7.017	0.478
Joseph Mario Molina, M.D.	MOLINA HEALTHCARE INC	MOH	$3.77 	$4.09 	6.576	0.612
Peter S. Swinburn	MOLSON COORS BREWING CO	TAP	$7.76 	$3.25 	6.89	0.512
Craig O. Morrison	MOMENTIVE SPCLTY CHEMICALS	5066B	$8.23 	$4.82 	6.916	0.683
John Farahi	MONARCH CASINO & RESORT INC	MCRI	$0.76 	$0.14 	5.879	-0.848
Pamela H. Patsley	MONEYGRAM INTERNATIONAL INC	MGI	$1.47 	$1.17 	6.168	0.068
Michael R. Hsing	MONOLITHIC POWER SYSTEMS INC	MPWR	$5.63 	$0.22 	6.75	-0.66
Douglas J. Shaw	MONOTYPE IMAGING HOLDINGS	TYPE	$1.38 	$0.11 	6.141	-0.972
Robert G. Gross	MONRO MUFFLER BRAKE INC	MNRO	$3.63 	$0.64 	6.56	-0.196
Hugh Grant	MONSANTO CO	MON	$13.17 	$10.50 	7.12	1.021
Sal Iannuzzi	MONSTER WORLDWIDE INC	MWW	$8.87 	$0.92 	6.948	-0.037
Christopher L. Harris	MONTPELIER RE HOLDINGS	MRH	$2.91 	$0.75 	6.464	-0.127
Raymond W. McDaniel, Jr.	MOODY'S CORP	MCO	$9.15 	$2.03 	6.961	0.308
Robert T. Brady	MOOG INC  -CL A	MOG.A	$1.90 	$2.11 	6.278	0.325
James P. Gorman	MORGAN STANLEY	MS	$15.19 	$37.39 	7.181	1.573
Sanjay K. Jha, Ph.D.	MOTOROLA MOBILITY HLDGS INC	MMI	$13.02 	$11.46 	7.114	1.059
Sanjay K. Jha, Ph.D.	MOTOROLA SOLUTIONS INC	MSI	$13.02 	$19.28 	7.114	1.285
Efraim Grinberg	MOVADO GROUP INC	MOV	$1.17 	$0.38 	6.07	-0.418
David Sandler	MSC INDUSTRIAL DIRECT  -CL A	MSM	$4.80 	$1.69 	6.682	0.228
Henry A. Fernandez	MSCI INC	MSCI	$5.49 	$0.66 	6.74	-0.179
Laura B. Hamilton	MTS SYSTEMS CORP	MTSC	$1.74 	$0.37 	6.24	-0.427
Gregory L. Christopher	MUELLER INDUSTRIES	MLI	$2.76 	$2.06 	6.44	0.314
Patrick J. Ramsey	MULTIMEDIA GAMES HOLDING CO	MGAM	$2.37 	$0.12 	6.374	-0.928
David M. Wood	MURPHY OIL CORP	MUR	$12.61 	$23.40 	7.101	1.369
James F. Cleary, Jr.	MWI VETERINARY SUPPLY	MWIV	$0.97 	$1.23 	5.984	0.09
John C. Orr	MYERS INDUSTRIES INC	MYE	$2.21 	$0.74 	6.344	-0.132
Robert J. Coury	MYLAN INC	MYL	$22.94 	$5.45 	7.361	0.736
Martin Dietrich	N B T BANCORP INC	NBTB	$2.99 	$0.34 	6.476	-0.469
Eugene M. Isenberg	NABORS INDUSTRIES LTD	NBR	$13.54 	$4.18 	7.132	0.621
